viewport_frames,current_optimal_res,buffer_health,state,playback_progress,timestamp,has_ads,ads_duration,init_time,network_estimate_kbps,network_activity
1136x639 / 0 dropped of 83Current /,1280x720@24 / 1280x720@24,11.8,8,3.3,1633933497.1799788,False,0,1633933490.4003253,4132,0
1136x639 / 0 dropped of 85Current /,1280x720@24 / 1280x720@24,16.24,4,3.4,1633933497.643868,False,0,1633933490.4003253,7534,0
1136x639 / 0 dropped of 85Current /,1280x720@24 / 1280x720@24,16.24,4,3.4,1633933498.155061,False,0,1633933490.4003253,7534,0
1136x639 / 0 dropped of 85Current /,1280x720@24 / 1280x720@24,16.24,4,3.4,1633933498.6576173,False,0,1633933490.4003253,7534,0
1136x639 / 0 dropped of 85Current /,1280x720@24 / 1280x720@24,16.24,4,3.4,1633933499.1610682,False,0,1633933490.4003253,7534,0
1136x639 / 0 dropped of 85Current /,1280x720@24 / 1280x720@24,16.24,4,3.4,1633933499.6673746,False,0,1633933490.4003253,7534,0
1136x639 / 0 dropped of 85Current /,1280x720@24 / 1280x720@24,16.24,4,3.4,1633933500.1803098,False,0,1633933490.4003253,7534,0
1136x639 / 0 dropped of 85Current /,1280x720@24 / 1280x720@24,16.24,4,3.4,1633933500.6864848,False,0,1633933490.4003253,7534,0
1136x639 / 0 dropped of 93Current /,1280x720@24 / 1280x720@24,15.97,8,3.73,1633933501.2075515,False,0,1633933490.4003253,7534,0
1136x639 / 0 dropped of 105Current /,1280x720@24 / 1280x720@24,15.47,8,4.23,1633933501.700296,False,0,1633933490.4003253,7534,0
1136x639 / 0 dropped of 117Current /,1280x720@24 / 1280x720@24,14.97,8,4.73,1633933502.2694185,False,0,1633933490.4003253,7534,0
1136x639 / 0 dropped of 129Current /,1280x720@24 / 1280x720@24,23.1,8,5.24,1633933502.7139108,False,0,1633933490.4003253,10309,0
1136x639 / 0 dropped of 141Current /,1280x720@24 / 1280x720@24,22.59,8,5.74,1633933503.2356977,False,0,1633933490.4003253,10309,0
1136x639 / 0 dropped of 153Current /,1280x720@24 / 1280x720@24,22.09,8,6.24,1633933503.7243197,False,0,1633933490.4003253,10309,0
1136x639 / 0 dropped of 165Current /,1280x720@24 / 1280x720@24,21.6,8,6.73,1633933504.229565,False,0,1633933490.4003253,10309,0
1136x639 / 0 dropped of 177Current /,1280x720@24 / 1280x720@24,21.12,8,7.21,1633933504.7300045,False,0,1633933490.4003253,10309,0
1136x639 / 0 dropped of 189Current /,1280x720@24 / 1280x720@24,20.62,8,7.71,1633933505.2377892,False,0,1633933490.4003253,10309,0
