viewport_frames,current_optimal_res,buffer_health,state,playback_progress,timestamp,has_ads,ads_duration,init_time,network_estimate_kbps,network_activity
1136x639 / 0 dropped of 4Current /,1280x720@24 / 1280x720@24,15.08,8,0.02,1633933319.2353237,False,0,1633933314.150451,4851,0
1136x639 / 0 dropped of 15Current /,1280x720@24 / 1280x720@24,14.89,8,0.44,1633933319.7366738,False,0,1633933314.150451,4851,0
1136x639 / 0 dropped of 27Current /,1280x720@24 / 1280x720@24,14.39,8,0.94,1633933320.236393,False,0,1633933314.150451,4851,0
1136x639 / 0 dropped of 39Current /,1280x720@24 / 1280x720@24,13.89,8,1.44,1633933320.7345119,False,0,1633933314.150451,4851,16
1136x639 / 0 dropped of 51Current /,1280x720@24 / 1280x720@24,17.95,8,1.94,1633933321.258289,False,0,1633933314.150451,15078,0
1136x639 / 0 dropped of 63Current /,1280x720@24 / 1280x720@24,17.45,8,2.44,1633933321.7567248,False,0,1633933314.150451,15078,0
1136x639 / 0 dropped of 75Current /,1280x720@24 / 1280x720@24,16.93,8,2.95,1633933322.2725387,False,0,1633933314.150451,15078,0
1136x639 / 0 dropped of 87Current /,1280x720@24 / 1280x720@24,16.43,8,3.45,1633933322.767293,False,0,1633933314.150451,15078,0
1136x639 / 0 dropped of 99Current /,1280x720@24 / 1280x720@24,26.29,8,3.95,1633933323.2743592,False,0,1633933314.150451,19538,1462
1136x639 / 0 dropped of 111Current /,1280x720@24 / 1280x720@24,25.79,8,4.45,1633933323.7799044,False,0,1633933314.150451,19538,0
1136x639 / 0 dropped of 123Current /,1280x720@24 / 1280x720@24,25.28,8,4.95,1633933324.28546,False,0,1633933314.150451,19538,0
1136x639 / 0 dropped of 135Current /,1280x720@24 / 1280x720@24,24.78,8,5.45,1633933324.7961452,False,0,1633933314.150451,19538,0
1136x639 / 0 dropped of 147Current /,1280x720@24 / 1280x720@24,24.28,8,5.95,1633933325.3009875,False,0,1633933314.150451,19538,0
1136x639 / 0 dropped of 159Current /,1280x720@24 / 1280x720@24,23.78,8,6.45,1633933325.8039112,False,0,1633933314.150451,19538,0
1136x639 / 0 dropped of 171Current /,1280x720@24 / 1280x720@24,23.28,8,6.95,1633933326.3129208,False,0,1633933314.150451,19538,0
1136x639 / 0 dropped of 183Current /,1280x720@24 / 1280x720@24,22.78,8,7.45,1633933326.8155112,False,0,1633933314.150451,19538,0
1136x639 / 0 dropped of 195Current /,1280x720@24 / 1280x720@24,22.28,8,7.96,1633933327.323917,False,0,1633933314.150451,19538,0
1136x639 / 0 dropped of 207Current /,1280x720@24 / 1280x720@24,41.77,8,8.46,1633933327.8431501,False,0,1633933314.150451,25964,359
1136x639 / 0 dropped of 219Current /,1280x720@24 / 1280x720@24,41.27,8,8.96,1633933328.3376112,False,0,1633933314.150451,25964,0
1136x639 / 0 dropped of 231Current /,1280x720@24 / 1280x720@24,40.77,8,9.46,1633933328.843831,False,0,1633933314.150451,25964,0
1136x639 / 0 dropped of 243Current /,1280x720@24 / 1280x720@24,40.28,8,9.95,1633933329.3498132,False,0,1633933314.150451,25964,0
1136x639 / 0 dropped of 255Current /,1280x720@24 / 1280x720@24,39.78,8,10.45,1633933329.8562067,False,0,1633933314.150451,25964,0
1136x639 / 0 dropped of 267Current /,1280x720@24 / 1280x720@24,39.28,8,10.95,1633933330.362647,False,0,1633933314.150451,25964,0
1136x639 / 0 dropped of 279Current /,1280x720@24 / 1280x720@24,38.78,8,11.45,1633933330.8691392,False,0,1633933314.150451,25964,0
