viewport_frames,current_optimal_res,buffer_health,state,playback_progress,timestamp,has_ads,ads_duration,init_time,network_estimate_kbps,network_activity
1136x639 / 0 dropped of 4Current /,1280x720@24 / 1280x720@24,15.08,44c,0.0,1633933142.9626625,False,0,1633933138.0336971,4754,0
1136x639 / 0 dropped of 12Current /,1280x720@24 / 1280x720@24,14.98,8,0.3,1633933143.4856167,False,0,1633933138.0336971,4754,0
1136x639 / 0 dropped of 24Current /,1280x720@24 / 1280x720@24,14.46,8,0.8,1633933143.9469032,False,0,1633933138.0336971,4754,0
1136x639 / 0 dropped of 35Current /,1280x720@24 / 1280x720@24,13.95,8,1.3,1633933144.4560611,False,0,1633933138.0336971,4754,0
1136x639 / 0 dropped of 47Current /,1280x720@24 / 1280x720@24,18.01,8,1.8,1633933144.9581625,False,0,1633933138.0336971,12350,0
1136x639 / 0 dropped of 59Current /,1280x720@24 / 1280x720@24,17.51,8,2.31,1633933145.4762168,False,0,1633933138.0336971,12350,0
1136x639 / 0 dropped of 71Current /,1280x720@24 / 1280x720@24,17.01,8,2.81,1633933145.9775968,False,0,1633933138.0336971,12350,0
1136x639 / 0 dropped of 83Current /,1280x720@24 / 1280x720@24,16.5,8,3.31,1633933146.4917524,False,0,1633933138.0336971,12350,0
1136x639 / 0 dropped of 95Current /,1280x720@24 / 1280x720@24,26.35,8,3.81,1633933146.9960284,False,0,1633933138.0336971,19790,1462
1136x639 / 0 dropped of 108Current /,1280x720@24 / 1280x720@24,25.85,8,4.31,1633933147.4931986,False,0,1633933138.0336971,19790,0
1136x639 / 0 dropped of 120Current /,1280x720@24 / 1280x720@24,25.34,8,4.81,1633933147.9996195,False,0,1633933138.0336971,19790,0
1136x639 / 0 dropped of 132Current /,1280x720@24 / 1280x720@24,24.85,8,5.29,1633933148.499794,False,0,1633933138.0336971,19790,0
1136x639 / 0 dropped of 144Current /,1280x720@24 / 1280x720@24,24.35,8,5.79,1633933149.0100904,False,0,1633933138.0336971,19790,0
1136x639 / 0 dropped of 155Current /,1280x720@24 / 1280x720@24,23.85,8,6.29,1633933149.5177355,False,0,1633933138.0336971,19790,0
1136x639 / 0 dropped of 167Current /,1280x720@24 / 1280x720@24,23.36,8,6.79,1633933150.025166,False,0,1633933138.0336971,19790,0
1136x639 / 0 dropped of 179Current /,1280x720@24 / 1280x720@24,22.86,8,7.28,1633933150.5294023,False,0,1633933138.0336971,19790,0
1136x639 / 0 dropped of 191Current /,1280x720@24 / 1280x720@24,22.36,8,7.78,1633933151.0359483,False,0,1633933138.0336971,19790,0
1136x639 / 0 dropped of 203Current /,1280x720@24 / 1280x720@24,21.86,8,8.29,1633933151.5476701,False,0,1633933138.0336971,19790,0
1136x639 / 0 dropped of 215Current /,1280x720@24 / 1280x720@24,41.35,8,8.79,1633933152.058046,False,0,1633933138.0336971,19766,359
1136x639 / 0 dropped of 227Current /,1280x720@24 / 1280x720@24,40.86,8,9.29,1633933152.5533557,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 239Current /,1280x720@24 / 1280x720@24,40.35,8,9.79,1633933153.0599039,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 251Current /,1280x720@24 / 1280x720@24,39.85,8,10.29,1633933153.5669456,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 263Current /,1280x720@24 / 1280x720@24,39.36,8,10.78,1633933154.07252,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 275Current /,1280x720@24 / 1280x720@24,38.85,8,11.28,1633933154.5782924,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 287Current /,1280x720@24 / 1280x720@24,38.36,8,11.78,1633933155.0910754,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 299Current /,1280x720@24 / 1280x720@24,37.85,8,12.28,1633933155.5911353,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 311Current /,1280x720@24 / 1280x720@24,37.35,8,12.79,1633933156.1025596,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 323Current /,1280x720@24 / 1280x720@24,36.85,8,13.29,1633933156.6114664,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 335Current /,1280x720@24 / 1280x720@24,36.34,8,13.79,1633933157.108364,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 347Current /,1280x720@24 / 1280x720@24,35.84,8,14.29,1633933157.6197367,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 359Current /,1280x720@24 / 1280x720@24,35.34,8,14.79,1633933158.1264079,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 371Current /,1280x720@24 / 1280x720@24,34.84,8,15.3,1633933158.6267228,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 383Current /,1280x720@24 / 1280x720@24,34.34,8,15.8,1633933159.137722,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 395Current /,1280x720@24 / 1280x720@24,33.83,8,16.3,1633933159.6394918,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 407Current /,1280x720@24 / 1280x720@24,33.33,8,16.8,1633933160.1536057,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 419Current /,1280x720@24 / 1280x720@24,32.83,8,17.3,1633933160.6524138,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 431Current /,1280x720@24 / 1280x720@24,32.33,8,17.8,1633933161.158634,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 443Current /,1280x720@24 / 1280x720@24,31.83,8,18.31,1633933161.66382,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 455Current /,1280x720@24 / 1280x720@24,31.33,8,18.81,1633933162.1722612,False,0,1633933138.0336971,19766,0
1136x639 / 0 dropped of 467Current /,1280x720@24 / 1280x720@24,30.83,8,19.31,1633933162.6865761,False,0,1633933138.0336971,19766,0
