viewport_frames,current_optimal_res,buffer_health,state,playback_progress,timestamp,has_ads,ads_duration,init_time,network_estimate_kbps,network_activity
1136x639 / 0 dropped of 6Current /,1280x720@24 / 1280x720@24,15.02,8,0.07,1633932966.883186,False,0,1633932960.5614045,7857,0
1136x639 / 0 dropped of 18Current /,1280x720@24 / 1280x720@24,14.52,8,0.57,1633932967.3808045,False,0,1633932960.5614045,7857,0
1136x639 / 0 dropped of 29Current /,1280x720@24 / 1280x720@24,14.01,8,1.07,1633932967.8796883,False,0,1633932960.5614045,7857,0
1136x639 / 0 dropped of 41Current /,1280x720@24 / 1280x720@24,18.08,8,1.56,1633932968.386501,False,0,1633932960.5614045,12045,0
1136x639 / 0 dropped of 53Current /,1280x720@24 / 1280x720@24,17.58,8,2.06,1633932968.922378,False,0,1633932960.5614045,12045,0
1136x639 / 0 dropped of 65Current /,1280x720@24 / 1280x720@24,17.33,8,2.56,1633932969.4100423,False,0,1633932960.5614045,12045,0
1136x639 / 0 dropped of 77Current /,1280x720@24 / 1280x720@24,16.83,8,3.05,1633932969.900743,False,0,1633932960.5614045,12045,0
1136x639 / 0 dropped of 89Current /,1280x720@24 / 1280x720@24,16.33,8,3.57,1633932970.416908,False,0,1633932960.5614045,12045,0
1136x639 / 0 dropped of 101Current /,1280x720@24 / 1280x720@24,26.17,8,4.07,1633932970.9131107,False,0,1633932960.5614045,20369,389
1136x639 / 0 dropped of 113Current /,1280x720@24 / 1280x720@24,25.68,8,4.57,1633932971.4181235,False,0,1633932960.5614045,20369,0
1136x639 / 0 dropped of 125Current /,1280x720@24 / 1280x720@24,25.18,8,5.07,1633932971.9257202,False,0,1633932960.5614045,20369,0
1136x639 / 0 dropped of 137Current /,1280x720@24 / 1280x720@24,24.67,8,5.57,1633932972.4312913,False,0,1633932960.5614045,20369,0
1136x639 / 0 dropped of 149Current /,1280x720@24 / 1280x720@24,24.18,8,6.07,1633932972.946236,False,0,1633932960.5614045,20369,0
1136x639 / 0 dropped of 161Current /,1280x720@24 / 1280x720@24,23.68,8,6.57,1633932973.444542,False,0,1633932960.5614045,20369,0
1136x639 / 0 dropped of 173Current /,1280x720@24 / 1280x720@24,23.17,8,7.07,1633932973.9557946,False,0,1633932960.5614045,20369,0
1136x639 / 0 dropped of 185Current /,1280x720@24 / 1280x720@24,22.67,8,7.57,1633932974.456129,False,0,1633932960.5614045,20369,0
1136x639 / 0 dropped of 197Current /,1280x720@24 / 1280x720@24,22.17,8,8.08,1633932974.9595652,False,0,1633932960.5614045,20369,0
1136x639 / 0 dropped of 209Current /,1280x720@24 / 1280x720@24,21.66,8,8.58,1633932975.4750137,False,0,1633932960.5614045,20369,0
1136x639 / 0 dropped of 221Current /,1280x720@24 / 1280x720@24,21.16,8,9.08,1633932975.980618,False,0,1633932960.5614045,20369,0
1136x639 / 0 dropped of 233Current /,1280x720@24 / 1280x720@24,40.66,8,9.58,1633932976.480364,False,0,1633932960.5614045,28008,359
1136x639 / 0 dropped of 245Current /,1280x720@24 / 1280x720@24,40.16,8,10.09,1633932976.9859543,False,0,1633932960.5614045,28008,0
1136x639 / 0 dropped of 258Current /,1280x720@24 / 1280x720@24,39.66,8,10.59,1633932977.4933624,False,0,1633932960.5614045,28008,0
1136x639 / 0 dropped of 270Current /,1280x720@24 / 1280x720@24,39.16,8,11.09,1633932978.007577,False,0,1633932960.5614045,28008,0
1136x639 / 0 dropped of 282Current /,1280x720@24 / 1280x720@24,38.66,8,11.58,1633932978.5107565,False,0,1633932960.5614045,28008,0
