 Date and time       , Frames ,  Bytes ,  BYTES ,                 
 2021-11-30 11:16:01 ,    141 ,  82858 ,  82858 ,                 
 2021-11-30 11:16:02 ,    196 , 121164 , 121164 ,                 
 2021-11-30 11:16:03 ,    142 ,  86878 ,  86878 ,                 
 2021-11-30 11:16:04 ,    103 ,  80039 ,  80039 ,                 
 2021-11-30 11:16:05 ,    179 , 154927 , 154927 ,                 
 2021-11-30 11:16:06 ,     56 ,   9489 ,   9489 ,                 
 2021-11-30 11:16:07 ,    149 , 136024 , 136024 ,                 
 2021-11-30 11:16:08 ,     48 ,  61967 ,  61967 ,                 
 2021-11-30 11:16:09 ,    110 , 135030 , 135030 ,                 
 2021-11-30 11:16:10 ,    136 , 158927 , 158927 ,                 
 2021-11-30 11:16:11 ,    101 ,  84948 ,  84948 ,                 
 2021-11-30 11:16:12 ,    106 , 133840 , 133840 ,                 
 2021-11-30 11:16:13 ,     76 ,  97524 ,  97524 ,                 
 2021-11-30 11:16:14 ,     10 ,   4714 ,   4714 ,                 
 2021-11-30 11:16:15 ,    112 , 125164 , 125164 ,                 
 2021-11-30 11:16:16 ,     75 ,  74198 ,  74198 ,                 
 2021-11-30 11:16:17 ,    157 , 154588 , 154588 ,                 
 2021-11-30 11:16:18 ,    106 , 134994 , 134898 ,                 
 2021-11-30 11:16:19 ,     54 ,  66700 ,  66700 ,                 
 2021-11-30 11:16:20 ,     99 , 133560 , 133560 ,                 
 2021-11-30 11:16:21 ,     98 , 133520 , 133520 ,                 
 2021-11-30 11:16:22 ,     59 ,  67634 ,  67634 ,                 
 2021-11-30 11:16:23 ,    111 , 134220 , 134220 ,                 
 2021-11-30 11:16:24 ,    128 , 145477 , 145477 ,                 
 2021-11-30 11:16:25 ,     79 ,  75145 ,  75145 ,                 
 2021-11-30 11:16:26 ,    106 , 130680 , 130680 ,                 
 2021-11-30 11:16:27 ,     77 ,  71290 ,  71290 ,                 
 2021-11-30 11:16:28 ,    163 , 176020 , 176020 ,                 
 2021-11-30 11:16:29 ,    173 , 194262 , 194262 ,                 
 2021-11-30 11:16:30 ,    108 , 111176 , 111176 ,                 
 2021-11-30 11:16:31 ,    275 , 259685 , 259685 ,                 
 2021-11-30 11:16:32 ,    196 , 137440 , 137440 ,                 
 2021-11-30 11:16:33 ,     92 ,  67960 ,  67960 ,                 
 2021-11-30 11:16:34 ,    184 , 136960 , 136960 ,                 
 2021-11-30 11:16:35 ,    161 , 135000 , 135000 ,                 
 2021-11-30 11:16:36 ,     54 ,  67520 ,  67520 ,                 
 2021-11-30 11:16:37 ,    109 , 137818 , 137818 ,                 
 2021-11-30 11:16:38 ,    114 , 143361 , 143361 ,                 
 2021-11-30 11:16:39 ,     82 ,  93048 ,  93048 ,                 
 2021-11-30 11:16:40 ,    150 , 190121 , 190121 ,                 
 2021-11-30 11:16:41 ,    164 , 180665 , 180665 ,                 
 2021-11-30 11:16:42 ,    264 , 216056 , 216056 ,                 
 2021-11-30 11:16:43 ,    281 , 270460 , 270460 ,                 
 2021-11-30 11:16:44 ,    149 , 135582 , 135582 ,                 
 2021-11-30 11:16:45 ,    284 , 285263 , 285263 ,                 
 2021-11-30 11:16:46 ,    217 , 268348 , 268348 ,                 
 2021-11-30 11:16:47 ,    114 , 134540 , 134540 ,                 
 2021-11-30 11:16:48 ,    198 , 266080 , 266080 ,                 
 2021-11-30 11:16:49 ,    196 , 265620 , 265620 ,                 
 2021-11-30 11:16:50 ,    100 , 133980 , 133980 ,                 
