 Date and time       , Frames ,  Bytes ,  BYTES ,                 
 2021-11-30 09:06:37 ,    142 ,  97730 ,  97730 ,                 
 2021-11-30 09:06:38 ,    147 , 138780 , 138780 ,                 
 2021-11-30 09:06:39 ,     86 ,  72728 ,  72728 ,                 
 2021-11-30 09:06:40 ,     88 ,  75395 ,  75395 ,                 
 2021-11-30 09:06:41 ,    103 , 135393 , 135393 ,                 
 2021-11-30 09:06:42 ,     49 ,  41283 ,  41283 ,                 
 2021-11-30 09:06:43 ,    123 , 134332 , 134332 ,                 
 2021-11-30 09:06:44 ,     89 ,  67864 ,  67864 ,                 
 2021-11-30 09:06:45 ,    101 , 133616 , 133616 ,                 
 2021-11-30 09:06:46 ,    104 , 132784 , 132784 ,                 
 2021-11-30 09:06:47 ,     72 ,  79871 ,  79871 ,                 
 2021-11-30 09:06:48 ,    119 , 126824 , 126824 ,                 
 2021-11-30 09:06:49 ,    126 , 135805 , 135805 ,                 
 2021-11-30 09:06:50 ,     54 ,  66798 ,  66798 ,                 
 2021-11-30 09:06:51 ,    102 , 135269 , 135269 ,                 
 2021-11-30 09:06:52 ,    122 , 142214 , 142214 ,                 
 2021-11-30 09:06:53 ,     60 ,  69014 ,  69014 ,                 
 2021-11-30 09:06:54 ,     34 ,  30012 ,  30012 ,                 
 2021-11-30 09:06:55 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:06:56 ,      1 ,     48 ,      0 ,                 
 2021-11-30 09:06:57 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:06:58 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:06:59 ,      9 ,   1123 ,   1123 ,                 
 2021-11-30 09:07:00 ,     28 ,   7639 ,   7639 ,                 
 2021-11-30 09:07:01 ,    109 ,  82618 ,  82570 ,                 
 2021-11-30 09:07:02 ,     81 ,  73265 ,  73265 ,                 
 2021-11-30 09:07:03 ,    120 , 138573 , 138573 ,                 
 2021-11-30 09:07:04 ,    135 , 146384 , 146384 ,                 
 2021-11-30 09:07:05 ,     89 , 111860 , 111860 ,                 
 2021-11-30 09:07:06 ,    113 , 153413 , 153413 ,                 
 2021-11-30 09:07:07 ,    132 ,  97960 ,  97960 ,                 
 2021-11-30 09:07:08 ,    187 , 137454 , 137454 ,                 
 2021-11-30 09:07:09 ,    101 ,  71055 ,  71055 ,                 
 2021-11-30 09:07:10 ,    265 , 207638 , 207638 ,                 
 2021-11-30 09:07:11 ,    215 , 267368 , 267368 ,                 
 2021-11-30 09:07:12 ,    148 , 199800 , 199800 ,                 
 2021-11-30 09:07:13 ,    150 , 199880 , 199880 ,                 
 2021-11-30 09:07:14 ,    152 , 199960 , 199960 ,                 
 2021-11-30 09:07:15 ,    194 , 266960 , 266960 ,                 
 2021-11-30 09:07:16 ,    139 , 183890 , 183890 ,                 
 2021-11-30 09:07:17 ,    169 , 203122 , 203122 ,                 
 2021-11-30 09:07:18 ,    215 , 268814 , 268814 ,                 
 2021-11-30 09:07:19 ,    146 , 200364 , 200364 ,                 
 2021-11-30 09:07:20 ,    149 , 200008 , 200008 ,                 
 2021-11-30 09:07:21 ,    117 , 160860 , 160860 ,                 
 2021-11-30 09:07:22 ,    194 , 266948 , 266948 ,                 
 2021-11-30 09:07:23 ,    147 , 199736 , 199736 ,                 
 2021-11-30 09:07:24 ,    150 , 199904 , 199904 ,                 
 2021-11-30 09:07:25 ,    194 , 266960 , 266960 ,                 
 2021-11-30 09:07:26 ,     86 , 117051 , 117051 ,                 
 2021-11-30 09:07:27 ,     96 , 133440 , 133440 ,                 
 2021-11-30 09:07:28 ,     96 , 133440 , 133440 ,                 
 2021-11-30 09:07:29 ,     52 ,  66991 ,  66991 ,                 
 2021-11-30 09:07:30 ,    108 , 137595 , 137595 ,                 
 2021-11-30 09:07:31 ,    119 , 136130 , 136130 ,                 
 2021-11-30 09:07:32 ,     48 ,  66200 ,  66200 ,                 
 2021-11-30 09:07:33 ,    161 , 202777 , 202777 ,                 
 2021-11-30 09:07:34 ,    148 , 199800 , 199800 ,                 
 2021-11-30 09:07:35 ,    143 , 200640 , 200640 ,                 
 2021-11-30 09:07:36 ,    195 , 267000 , 267000 ,                 
 2021-11-30 09:07:37 ,    145 , 200720 , 200720 ,                 
 2021-11-30 09:07:38 ,     91 , 122936 , 122936 ,                 
 2021-11-30 09:07:39 ,     96 , 133440 , 133440 ,                 
 2021-11-30 09:07:40 ,     97 , 133480 , 133480 ,                 
 2021-11-30 09:07:41 ,     48 ,  66200 ,  66200 ,                 
 2021-11-30 09:07:42 ,     96 , 133440 , 133440 ,                 
 2021-11-30 09:07:43 ,     98 , 133520 , 133520 ,                 
 2021-11-30 09:07:44 ,     52 ,  66360 ,  66360 ,                 
 2021-11-30 09:07:45 ,    101 , 132600 , 132600 ,                 
 2021-11-30 09:07:46 ,     96 , 133440 , 133440 ,                 
 2021-11-30 09:07:47 ,     50 ,  66320 ,  66320 ,                 
 2021-11-30 09:07:48 ,    119 , 137809 , 137809 ,                 
 2021-11-30 09:07:49 ,    127 , 144960 , 144960 ,                 
 2021-11-30 09:07:50 ,    103 ,  97051 ,  97051 ,                 
 2021-11-30 09:07:51 ,    156 , 195142 , 195142 ,                 
 2021-11-30 09:07:52 ,    172 , 183724 , 183724 ,                 
 2021-11-30 09:07:53 ,    244 , 200587 , 200587 ,                 
 2021-11-30 09:07:54 ,    114 , 132740 , 132740 ,                 
 2021-11-30 09:07:55 ,     97 , 132440 , 132440 ,                 
 2021-11-30 09:07:56 ,     49 ,  67280 ,  67280 ,                 
 2021-11-30 09:07:57 ,    101 , 132600 , 132600 ,                 
 2021-11-30 09:07:58 ,     53 ,  67828 ,  67780 ,                 
 2021-11-30 09:07:59 ,    100 , 132500 , 132500 ,                 
 2021-11-30 09:08:00 ,    105 , 134120 , 134120 ,                 
 2021-11-30 09:08:01 ,     52 ,  66680 ,  66680 ,                 
 2021-11-30 09:08:02 ,    106 , 133160 , 133160 ,                 
 2021-11-30 09:08:03 ,    113 , 138010 , 138010 ,                 
 2021-11-30 09:08:04 ,     73 ,  69246 ,  69246 ,                 
 2021-11-30 09:08:05 ,    101 , 132600 , 132600 ,                 
 2021-11-30 09:08:06 ,     99 , 133568 , 133520 ,                 
 2021-11-30 09:08:07 ,     49 ,  66240 ,  66240 ,                 
 2021-11-30 09:08:08 ,     98 , 133520 , 133520 ,                 
 2021-11-30 09:08:09 ,     45 ,  56455 ,  56455 ,                 
 2021-11-30 09:08:10 ,     43 ,  40884 ,  40884 ,                 
 2021-11-30 09:08:11 ,     52 ,  23512 ,  23512 ,                 
 2021-11-30 09:08:12 ,     51 ,  10086 ,  10086 ,                 
 2021-11-30 09:08:13 ,     58 ,  32445 ,  32445 ,                 
 2021-11-30 09:08:14 ,     18 ,    760 ,    760 ,                 
 2021-11-30 09:08:15 ,     14 ,   3785 ,   3785 ,                 
 2021-11-30 09:08:16 ,      7 ,   1516 ,   1516 ,                 
 2021-11-30 09:08:17 ,     14 ,   3066 ,   3066 ,                 
 2021-11-30 09:08:18 ,     23 ,   3233 ,   3233 ,                 
 2021-11-30 09:08:19 ,      1 ,    392 ,    392 ,                 
 2021-11-30 09:08:20 ,     31 ,  12389 ,  12389 ,                 
 2021-11-30 09:08:21 ,      7 ,   1206 ,   1206 ,                 
 2021-11-30 09:08:22 ,      1 ,     40 ,     40 ,                 
 2021-11-30 09:08:23 ,      4 ,    160 ,    160 ,                 
 2021-11-30 09:08:24 ,     12 ,    480 ,    480 ,                 
 2021-11-30 09:08:25 ,      2 ,    120 ,    120 ,                 
 2021-11-30 09:08:26 ,     14 ,   3793 ,   3793 ,                 
 2021-11-30 09:08:27 ,     35 ,  23779 ,  23779 ,                 
 2021-11-30 09:08:28 ,     20 ,   3465 ,   3465 ,                 
 2021-11-30 09:08:29 ,     81 ,  28058 ,  28058 ,                 
 2021-11-30 09:08:30 ,     77 ,  19717 ,  19717 ,                 
 2021-11-30 09:08:31 ,     12 ,   1484 ,   1484 ,                 
 2021-11-30 09:08:32 ,      5 ,    989 ,    989 ,                 
