 Date and time       , Frames ,  Bytes ,  BYTES ,                 
 2021-11-30 11:07:36 ,    217 , 145044 , 145044 ,                 
 2021-11-30 11:07:37 ,    174 ,  98727 ,  98727 ,                 
 2021-11-30 11:07:38 ,    204 , 142006 , 142006 ,                 
 2021-11-30 11:07:39 ,    165 , 104685 , 104685 ,                 
 2021-11-30 11:07:40 ,    114 ,  75271 ,  75271 ,                 
 2021-11-30 11:07:41 ,    130 , 138217 , 138217 ,                 
 2021-11-30 11:07:42 ,     73 ,  73820 ,  73820 ,                 
 2021-11-30 11:07:43 ,    104 , 134580 , 134580 ,                 
 2021-11-30 11:07:44 ,    101 , 133640 , 133640 ,                 
 2021-11-30 11:07:45 ,     45 ,  42896 ,  42896 ,                 
 2021-11-30 11:07:46 ,     80 , 107130 , 107130 ,                 
 2021-11-30 11:07:47 ,     51 ,  67360 ,  67360 ,                 
 2021-11-30 11:07:48 ,     80 , 109112 , 109112 ,                 
 2021-11-30 11:07:49 ,     98 , 133558 , 133558 ,                 
 2021-11-30 11:07:50 ,     62 ,  69413 ,  69413 ,                 
 2021-11-30 11:07:51 ,    143 , 151635 , 151635 ,                 
 2021-11-30 11:07:52 ,    159 , 153501 , 153501 ,                 
 2021-11-30 11:07:53 ,     65 ,  68371 ,  68371 ,                 
 2021-11-30 11:07:54 ,    123 , 129627 , 129531 ,                 
 2021-11-30 11:07:55 ,    113 , 128301 , 128301 ,                 
 2021-11-30 11:07:56 ,     89 , 112888 , 112888 ,                 
 2021-11-30 11:07:57 ,    155 , 182994 , 182994 ,                 
 2021-11-30 11:07:58 ,    132 , 128220 , 128220 ,                 
 2021-11-30 11:07:59 ,    244 , 214312 , 214312 ,                 
 2021-11-30 11:08:00 ,    283 , 270520 , 270520 ,                 
 2021-11-30 11:08:01 ,    104 ,  81323 ,  81323 ,                 
 2021-11-30 11:08:02 ,    212 , 267680 , 267680 ,                 
 2021-11-30 11:08:03 ,    132 , 175004 , 175004 ,                 
 2021-11-30 11:08:04 ,    144 , 200680 , 200680 ,                 
 2021-11-30 11:08:05 ,    195 , 265960 , 265960 ,                 
 2021-11-30 11:08:06 ,    148 , 200840 , 200840 ,                 
 2021-11-30 11:08:07 ,    149 , 198800 , 198800 ,                 
 2021-11-30 11:08:08 ,    154 , 204760 , 204760 ,                 
 2021-11-30 11:08:09 ,    148 , 199408 , 199408 ,                 
 2021-11-30 11:08:10 ,    132 , 172901 , 172901 ,                 
 2021-11-30 11:08:11 ,    149 , 199840 , 199840 ,                 
 2021-11-30 11:08:12 ,    200 , 264740 , 264740 ,                 
 2021-11-30 11:08:13 ,    160 , 201754 , 201754 ,                 
 2021-11-30 11:08:14 ,    178 , 211275 , 211275 ,                 
 2021-11-30 11:08:15 ,    226 , 271799 , 271799 ,                 
 2021-11-30 11:08:16 ,    150 , 199880 , 199880 ,                 
 2021-11-30 11:08:17 ,    149 , 200868 , 200868 ,                 
 2021-11-30 11:08:18 ,    199 , 266120 , 266120 ,                 
 2021-11-30 11:08:19 ,    152 , 198932 , 198932 ,                 
 2021-11-30 11:08:20 ,    128 , 150920 , 150920 ,                 
 2021-11-30 11:08:21 ,    230 , 279557 , 279557 ,                 
 2021-11-30 11:08:22 ,    183 , 212452 , 212452 ,                 
 2021-11-30 11:08:23 ,    150 , 199440 , 199440 ,                 
 2021-11-30 11:08:24 ,    162 , 214560 , 214560 ,                 
 2021-11-30 11:08:25 ,    134 , 165517 , 165517 ,                 
 2021-11-30 11:08:26 ,    103 , 132300 , 132300 ,                 
 2021-11-30 11:08:27 ,     63 ,  81000 ,  81000 ,                 
 2021-11-30 11:08:28 ,     90 , 117960 , 117960 ,                 
 2021-11-30 11:08:29 ,    103 , 133720 , 133720 ,                 
 2021-11-30 11:08:30 ,     66 ,  81120 ,  81120 ,                 
 2021-11-30 11:08:31 ,     93 , 118080 , 118080 ,                 
 2021-11-30 11:08:32 ,     99 , 132520 , 132520 ,                 
 2021-11-30 11:08:33 ,     68 ,  82282 ,  82282 ,                 
 2021-11-30 11:08:34 ,    113 , 130951 , 130951 ,                 
 2021-11-30 11:08:35 ,    125 , 140221 , 140221 ,                 
 2021-11-30 11:08:36 ,     79 ,  88314 ,  88314 ,                 
 2021-11-30 11:08:37 ,    114 , 133633 , 133633 ,                 
 2021-11-30 11:08:38 ,    121 , 151480 , 151480 ,                 
