 Date and time       , Frames ,  Bytes ,  BYTES ,                 
 2021-11-30 11:20:06 ,    130 ,  85953 ,  85953 ,                 
 2021-11-30 11:20:07 ,     64 ,  30802 ,  30802 ,                 
 2021-11-30 11:20:08 ,    114 ,  62520 ,  62520 ,                 
 2021-11-30 11:20:09 ,    175 , 110502 , 110502 ,                 
 2021-11-30 11:20:10 ,    143 ,  87500 ,  87500 ,                 
 2021-11-30 11:20:11 ,    215 , 128599 , 128599 ,                 
 2021-11-30 11:20:12 ,    185 , 135960 , 135960 ,                 
 2021-11-30 11:20:13 ,    104 ,  69480 ,  69480 ,                 
 2021-11-30 11:20:14 ,    180 , 136388 , 136388 ,                 
 2021-11-30 11:20:15 ,    115 , 134242 , 134242 ,                 
 2021-11-30 11:20:16 ,     70 ,  54173 ,  54173 ,                 
 2021-11-30 11:20:17 ,    106 ,  83156 ,  83156 ,                 
 2021-11-30 11:20:18 ,     60 ,  67360 ,  67360 ,                 
 2021-11-30 11:20:19 ,    108 , 133144 , 133144 ,                 
 2021-11-30 11:20:20 ,    107 , 133605 , 133605 ,                 
 2021-11-30 11:20:21 ,     73 ,  73441 ,  73441 ,                 
 2021-11-30 11:20:22 ,    136 , 148464 , 148464 ,                 
 2021-11-30 11:20:23 ,     83 , 100691 , 100691 ,                 
 2021-11-30 11:20:24 ,     14 ,   1716 ,   1716 ,                 
 2021-11-30 11:20:25 ,     25 ,   7782 ,   7782 ,                 
 2021-11-30 11:20:26 ,     61 ,  26195 ,  26195 ,                 
 2021-11-30 11:20:27 ,     30 ,   6871 ,   6871 ,                 
 2021-11-30 11:20:28 ,     32 ,   4680 ,   4632 ,                 
 2021-11-30 11:20:29 ,     52 ,  28742 ,  28742 ,                 
 2021-11-30 11:20:30 ,     36 ,  32286 ,  32238 ,                 
 2021-11-30 11:20:31 ,    135 , 101441 , 101441 ,                 
 2021-11-30 11:20:32 ,    230 , 170524 , 170524 ,                 
 2021-11-30 11:20:33 ,    140 , 120141 , 120141 ,                 
 2021-11-30 11:20:34 ,    248 , 177946 , 177946 ,                 
 2021-11-30 11:20:35 ,    317 , 269968 , 269968 ,                 
 2021-11-30 11:20:36 ,    260 , 216338 , 216338 ,                 
 2021-11-30 11:20:37 ,    214 , 206989 , 206989 ,                 
 2021-11-30 11:20:38 ,    254 , 269380 , 269380 ,                 
 2021-11-30 11:20:39 ,     88 ,  93859 ,  93859 ,                 
 2021-11-30 11:20:40 ,    125 , 145631 , 145631 ,                 
 2021-11-30 11:20:41 ,     76 ,  72900 ,  72900 ,                 
 2021-11-30 11:20:42 ,    172 , 202784 , 202784 ,                 
 2021-11-30 11:20:43 ,    153 , 200024 , 200024 ,                 
 2021-11-30 11:20:44 ,    154 , 199132 , 199132 ,                 
