 Date and time       , Frames ,  Bytes ,  BYTES ,                 
 2021-11-30 11:37:39 ,    219 , 148062 , 148062 ,                 
 2021-11-30 11:37:40 ,    165 ,  98896 ,  98896 ,                 
 2021-11-30 11:37:41 ,    131 ,  79281 ,  79281 ,                 
 2021-11-30 11:37:42 ,    234 , 144886 , 144886 ,                 
 2021-11-30 11:37:43 ,    165 ,  85771 ,  85771 ,                 
 2021-11-30 11:37:44 ,    266 , 163621 , 163621 ,                 
 2021-11-30 11:37:45 ,    234 , 150952 , 150952 ,                 
 2021-11-30 11:37:46 ,     39 ,  25810 ,  25810 ,                 
 2021-11-30 11:37:47 ,    142 , 138593 , 138593 ,                 
 2021-11-30 11:37:48 ,     88 ,  74756 ,  74756 ,                 
 2021-11-30 11:37:49 ,    130 , 152769 , 152769 ,                 
 2021-11-30 11:37:50 ,    115 , 121869 , 121869 ,                 
 2021-11-30 11:37:51 ,     75 ,  68140 ,  68140 ,                 
 2021-11-30 11:37:52 ,    105 , 132832 , 132832 ,                 
 2021-11-30 11:37:53 ,    120 , 135410 , 135410 ,                 
 2021-11-30 11:37:54 ,     80 ,  81601 ,  81601 ,                 
 2021-11-30 11:37:55 ,    128 , 140335 , 140287 ,                 
 2021-11-30 11:37:56 ,     73 ,  87013 ,  86965 ,                 
 2021-11-30 11:37:57 ,     57 ,  67543 ,  67543 ,                 
 2021-11-30 11:37:58 ,    110 , 133054 , 133054 ,                 
 2021-11-30 11:37:59 ,    121 , 141202 , 141202 ,                 
 2021-11-30 11:38:00 ,     75 ,  75808 ,  75808 ,                 
 2021-11-30 11:38:01 ,    136 , 146403 , 146403 ,                 
 2021-11-30 11:38:02 ,    100 ,  81790 ,  81790 ,                 
 2021-11-30 11:38:03 ,    131 , 143968 , 143968 ,                 
 2021-11-30 11:38:04 ,    136 , 174588 , 174588 ,                 
 2021-11-30 11:38:05 ,    117 , 130520 , 130520 ,                 
 2021-11-30 11:38:06 ,    189 , 198100 , 198100 ,                 
 2021-11-30 11:38:07 ,    255 , 230077 , 230077 ,                 
 2021-11-30 11:38:08 ,    146 , 134472 , 134472 ,                 
 2021-11-30 11:38:09 ,    280 , 269396 , 269396 ,                 
 2021-11-30 11:38:10 ,    210 , 267576 , 267576 ,                 
 2021-11-30 11:38:11 ,     98 , 132504 , 132504 ,                 
 2021-11-30 11:38:12 ,    171 , 221692 , 221692 ,                 
 2021-11-30 11:38:13 ,    199 , 269460 , 269460 ,                 
 2021-11-30 11:38:14 ,    102 , 136082 , 136082 ,                 
 2021-11-30 11:38:15 ,    193 , 266920 , 266920 ,                 
 2021-11-30 11:38:16 ,    144 , 199664 , 199664 ,                 
 2021-11-30 11:38:17 ,    146 , 199720 , 199720 ,                 
 2021-11-30 11:38:18 ,    134 , 177863 , 177863 ,                 
 2021-11-30 11:38:19 ,     97 , 133480 , 133480 ,                 
 2021-11-30 11:38:20 ,     49 ,  66240 ,  66240 ,                 
 2021-11-30 11:38:21 ,     94 , 133360 , 133360 ,                 
 2021-11-30 11:38:22 ,     96 , 133489 , 133489 ,                 
 2021-11-30 11:38:23 ,     53 ,  66534 ,  66534 ,                 
 2021-11-30 11:38:24 ,    102 , 134722 , 134722 ,                 
 2021-11-30 11:38:25 ,    105 , 134401 , 134401 ,                 
 2021-11-30 11:38:26 ,     99 ,  89658 ,  89658 ,                 
 2021-11-30 11:38:27 ,    160 , 161566 , 161566 ,                 
 2021-11-30 11:38:28 ,    148 , 162262 , 162262 ,                 
 2021-11-30 11:38:29 ,     73 ,  92800 ,  92800 ,                 
 2021-11-30 11:38:30 ,    174 , 195798 , 195798 ,                 
 2021-11-30 11:38:31 ,    295 , 272280 , 272280 ,                 
 2021-11-30 11:38:32 ,    149 , 135940 , 135940 ,                 
 2021-11-30 11:38:33 ,    292 , 269460 , 269460 ,                 
 2021-11-30 11:38:34 ,    221 , 230660 , 230660 ,                 
 2021-11-30 11:38:35 ,     49 ,  67660 ,  67660 ,                 
 2021-11-30 11:38:36 ,     95 , 131980 , 131980 ,                 
 2021-11-30 11:38:37 ,     51 ,  67740 ,  67740 ,                 
 2021-11-30 11:38:38 ,     99 , 131100 , 131100 ,                 
 2021-11-30 11:38:39 ,     95 , 133400 , 133400 ,                 
 2021-11-30 11:38:40 ,     48 ,  67240 ,  67240 ,                 
 2021-11-30 11:38:41 ,     95 , 133400 , 133400 ,                 
 2021-11-30 11:38:42 ,     95 , 133420 , 133420 ,                 
 2021-11-30 11:38:43 ,     54 ,  67502 ,  67502 ,                 
 2021-11-30 11:38:44 ,    114 , 143631 , 143631 ,                 
 2021-11-30 11:38:45 ,    116 , 145114 , 145114 ,                 
 2021-11-30 11:38:46 ,     86 , 111360 , 111360 ,                 
 2021-11-30 11:38:47 ,    184 , 205500 , 205500 ,                 
 2021-11-30 11:38:48 ,    191 , 201520 , 201520 ,                 
 2021-11-30 11:38:49 ,    232 , 203160 , 203160 ,                 
 2021-11-30 11:38:50 ,    280 , 270400 , 270400 ,                 
 2021-11-30 11:38:51 ,    179 , 202080 , 202080 ,                 
 2021-11-30 11:38:52 ,    109 , 135908 , 135908 ,                 
 2021-11-30 11:38:53 ,     98 , 133520 , 133520 ,                 
 2021-11-30 11:38:54 ,     95 , 133400 , 133400 ,                 
 2021-11-30 11:38:55 ,     48 ,  66200 ,  66200 ,                 
 2021-11-30 11:38:56 ,     98 , 133528 , 133480 ,                 
 2021-11-30 11:38:57 ,     99 , 132680 , 132680 ,                 
 2021-11-30 11:38:58 ,     51 ,  67680 ,  67680 ,                 
 2021-11-30 11:38:59 ,    100 , 132880 , 132880 ,                 
 2021-11-30 11:39:00 ,    100 , 132500 , 132500 ,                 
 2021-11-30 11:39:01 ,     57 ,  68721 ,  68721 ,                 
 2021-11-30 11:39:02 ,    122 , 141250 , 141202 ,                 
 2021-11-30 11:39:03 ,    151 , 152957 , 152957 ,                 
 2021-11-30 11:39:04 ,     55 ,  68508 ,  68508 ,                 
 2021-11-30 11:39:05 ,    102 , 133132 , 133132 ,                 
 2021-11-30 11:39:06 ,     97 , 133480 , 133480 ,                 
 2021-11-30 11:39:07 ,     51 ,  66320 ,  66320 ,                 
 2021-11-30 11:39:08 ,     53 ,  58572 ,  58572 ,                 
 2021-11-30 11:39:09 ,    161 , 141886 , 141886 ,                 
 2021-11-30 11:39:10 ,    138 , 141101 , 141101 ,                 
 2021-11-30 11:39:11 ,     69 ,  68744 ,  68744 ,                 
 2021-11-30 11:39:12 ,    114 , 133096 , 133096 ,                 
 2021-11-30 11:39:13 ,    116 , 132988 , 132988 ,                 
 2021-11-30 11:39:14 ,     57 ,  66560 ,  66560 ,                 
 2021-11-30 11:39:15 ,    103 , 133932 , 133932 ,                 
 2021-11-30 11:39:16 ,    100 , 135020 , 135020 ,                 
 2021-11-30 11:39:17 ,     49 ,  66240 ,  66240 ,                 
 2021-11-30 11:39:18 ,    100 , 135020 , 135020 ,                 
 2021-11-30 11:39:19 ,    101 , 133808 , 133808 ,                 
 2021-11-30 11:39:20 ,     51 ,  66320 ,  66320 ,                 
 2021-11-30 11:39:21 ,    103 , 133932 , 133932 ,                 
 2021-11-30 11:39:22 ,     98 , 132268 , 132268 ,                 
 2021-11-30 11:39:23 ,     55 ,  67900 ,  67900 ,                 
 2021-11-30 11:39:24 ,    101 , 133852 , 133852 ,                 
 2021-11-30 11:39:25 ,     97 , 133480 , 133480 ,                 
 2021-11-30 11:39:26 ,     59 ,  69142 ,  69142 ,                 
 2021-11-30 11:39:27 ,    122 , 142362 , 142362 ,                 
 2021-11-30 11:39:28 ,     75 ,  72492 ,  72492 ,                 
 2021-11-30 11:39:29 ,    104 , 133304 , 133304 ,                 
 2021-11-30 11:39:30 ,     94 , 131940 , 131940 ,                 
 2021-11-30 11:39:31 ,     50 ,  67700 ,  67700 ,                 
 2021-11-30 11:39:32 ,     97 , 132060 , 132060 ,                 
 2021-11-30 11:39:33 ,    104 , 133760 , 133760 ,                 
 2021-11-30 11:39:34 ,     48 ,  66200 ,  66200 ,                 
 2021-11-30 11:39:35 ,     97 , 133480 , 133480 ,                 
 2021-11-30 11:39:36 ,     97 , 132440 , 132440 ,                 
 2021-11-30 11:39:37 ,     48 ,  67240 ,  67240 ,                 
 2021-11-30 11:39:38 ,     97 , 132440 , 132440 ,                 
 2021-11-30 11:39:39 ,     96 , 133440 , 133440 ,                 
 2021-11-30 11:39:40 ,     49 ,  66240 ,  66240 ,                 
 2021-11-30 11:39:41 ,    103 , 134281 , 134281 ,                 
 2021-11-30 11:39:42 ,    119 , 139561 , 139561 ,                 
 2021-11-30 11:39:43 ,     81 ,  77491 ,  77491 ,                 
 2021-11-30 11:39:44 ,    102 , 134288 , 134288 ,                 
 2021-11-30 11:39:45 ,    100 , 134732 , 134732 ,                 
 2021-11-30 11:39:46 ,     49 ,  66240 ,  66240 ,                 
 2021-11-30 11:39:47 ,     96 , 133440 , 133440 ,                 
 2021-11-30 11:39:48 ,    103 , 133720 , 133720 ,                 
 2021-11-30 11:39:49 ,     50 ,  66280 ,  66280 ,                 
 2021-11-30 11:39:50 ,     98 , 133520 , 133520 ,                 
 2021-11-30 11:39:51 ,     97 , 133480 , 133480 ,                 
 2021-11-30 11:39:52 ,     49 ,  66240 ,  66240 ,                 
 2021-11-30 11:39:53 ,     99 , 133560 , 133560 ,                 
 2021-11-30 11:39:54 ,     95 , 133400 , 133400 ,                 
 2021-11-30 11:39:55 ,     50 ,  66280 ,  66280 ,                 
 2021-11-30 11:39:56 ,     97 , 133480 , 133480 ,                 
 2021-11-30 11:39:57 ,     47 ,  66160 ,  66160 ,                 
 2021-11-30 11:39:58 ,     95 , 133400 , 133400 ,                 
 2021-11-30 11:39:59 ,     94 , 133360 , 133360 ,                 
 2021-11-30 11:40:00 ,     47 ,  67200 ,  67200 ,                 
 2021-11-30 11:40:01 ,     95 , 133400 , 133400 ,                 
 2021-11-30 11:40:02 ,     94 , 133360 , 133360 ,                 
