 Date and time       , Frames ,  Bytes ,  BYTES ,                 
 2021-11-30 10:53:58 ,    166 , 142438 , 142438 ,                 
 2021-11-30 10:53:59 ,    126 , 141290 , 141290 ,                 
 2021-11-30 10:54:00 ,     82 ,  63784 ,  63784 ,                 
 2021-11-30 10:54:01 ,     37 ,  16589 ,  16589 ,                 
 2021-11-30 10:54:02 ,     63 ,  42005 ,  42005 ,                 
 2021-11-30 10:54:03 ,    171 , 145512 , 145512 ,                 
 2021-11-30 10:54:04 ,     65 ,  70952 ,  70952 ,                 
 2021-11-30 10:54:05 ,    103 , 133312 , 133312 ,                 
 2021-11-30 10:54:06 ,     94 , 125151 , 125151 ,                 
 2021-11-30 10:54:07 ,     50 ,  67328 ,  67280 ,                 
 2021-11-30 10:54:08 ,    109 , 133960 , 133960 ,                 
 2021-11-30 10:54:09 ,     51 ,  66320 ,  66320 ,                 
 2021-11-30 10:54:10 ,     99 , 133580 , 133580 ,                 
 2021-11-30 10:54:11 ,    106 , 134902 , 134902 ,                 
 2021-11-30 10:54:12 ,     43 ,  30727 ,  30727 ,                 
 2021-11-30 10:54:13 ,     95 ,  76262 ,  76262 ,                 
 2021-11-30 10:54:14 ,     59 ,  67776 ,  67776 ,                 
 2021-11-30 10:54:15 ,    119 , 141899 , 141899 ,                 
 2021-11-30 10:54:16 ,    132 , 145688 , 145688 ,                 
 2021-11-30 10:54:17 ,     62 ,  71018 ,  70970 ,                 
 2021-11-30 10:54:18 ,    130 , 137961 , 137961 ,                 
 2021-11-30 10:54:19 ,    105 , 120516 , 120516 ,                 
 2021-11-30 10:54:20 ,     77 ,  95291 ,  95291 ,                 
 2021-11-30 10:54:21 ,    194 , 204860 , 204860 ,                 
 2021-11-30 10:54:22 ,    286 , 269876 , 269876 ,                 
 2021-11-30 10:54:23 ,    144 , 135084 , 135084 ,                 
 2021-11-30 10:54:24 ,    286 , 269876 , 269876 ,                 
 2021-11-30 10:54:25 ,    233 , 268244 , 268244 ,                 
 2021-11-30 10:54:26 ,    105 , 133036 , 133036 ,                 
 2021-11-30 10:54:27 ,    200 , 265120 , 265120 ,                 
 2021-11-30 10:54:28 ,    179 , 239267 , 239267 ,                 
 2021-11-30 10:54:29 ,    100 , 133396 , 133396 ,                 
 2021-11-30 10:54:30 ,    202 , 266420 , 266420 ,                 
 2021-11-30 10:54:31 ,    153 , 202840 , 202840 ,                 
 2021-11-30 10:54:32 ,    150 , 197064 , 197064 ,                 
 2021-11-30 10:54:33 ,    203 , 266076 , 266076 ,                 
 2021-11-30 10:54:34 ,    134 , 179251 , 179251 ,                 
 2021-11-30 10:54:35 ,     51 ,  67740 ,  67740 ,                 
 2021-11-30 10:54:36 ,     99 , 134971 , 134971 ,                 
 2021-11-30 10:54:37 ,    150 , 198996 , 198996 ,                 
 2021-11-30 10:54:38 ,    154 , 200588 , 200588 ,                 
 2021-11-30 10:54:39 ,    197 , 265492 , 265492 ,                 
 2021-11-30 10:54:40 ,    149 , 198800 , 198800 ,                 
 2021-11-30 10:54:41 ,    145 , 195012 , 195012 ,                 
 2021-11-30 10:54:42 ,     97 , 132060 , 132060 ,                 
 2021-11-30 10:54:43 ,    103 , 133752 , 133752 ,                 
 2021-11-30 10:54:44 ,     51 ,  66650 ,  66650 ,                 
 2021-11-30 10:54:45 ,    123 , 141813 , 141813 ,                 
 2021-11-30 10:54:46 ,    139 , 149693 , 149693 ,                 
 2021-11-30 10:54:47 ,     73 ,  73398 ,  73398 ,                 
 2021-11-30 10:54:48 ,    111 , 139672 , 139672 ,                 
 2021-11-30 10:54:49 ,    128 , 145567 , 145567 ,                 
 2021-11-30 10:54:50 ,     51 ,  66320 ,  66320 ,                 
 2021-11-30 10:54:51 ,     96 , 133440 , 133440 ,                 
 2021-11-30 10:54:52 ,     96 , 130600 , 130600 ,                 
