 Date and time       , Frames ,  Bytes ,  BYTES ,                 
 2021-11-30 10:31:23 ,    129 , 118456 , 118456 ,                 
 2021-11-30 10:31:24 ,    191 , 144876 , 144876 ,                 
 2021-11-30 10:31:25 ,     42 ,  21380 ,  21380 ,                 
 2021-11-30 10:31:26 ,    135 , 144587 , 144587 ,                 
 2021-11-30 10:31:27 ,     76 ,  75893 ,  75893 ,                 
 2021-11-30 10:31:28 ,     42 ,  27207 ,  27207 ,                 
 2021-11-30 10:31:29 ,     69 ,  58140 ,  58140 ,                 
 2021-11-30 10:31:30 ,     59 ,  41261 ,  41261 ,                 
 2021-11-30 10:31:31 ,    182 , 126220 , 126220 ,                 
 2021-11-30 10:31:32 ,    151 , 109539 , 109539 ,                 
 2021-11-30 10:31:33 ,    208 , 137936 , 137936 ,                 
 2021-11-30 10:31:34 ,    191 , 136440 , 136440 ,                 
 2021-11-30 10:31:35 ,     92 ,  68760 ,  68760 ,                 
 2021-11-30 10:31:36 ,    115 , 133460 , 133460 ,                 
 2021-11-30 10:31:37 ,     87 , 101809 , 101761 ,                 
 2021-11-30 10:31:38 ,    103 ,  93073 ,  93073 ,                 
 2021-11-30 10:31:39 ,    130 , 140035 , 140035 ,                 
 2021-11-30 10:31:40 ,    108 , 135256 , 135256 ,                 
 2021-11-30 10:31:41 ,     52 ,  66368 ,  66320 ,                 
 2021-11-30 10:31:42 ,     95 , 133400 , 133400 ,                 
 2021-11-30 10:31:43 ,     31 ,  40251 ,  40251 ,                 
 2021-11-30 10:31:44 ,      3 ,    214 ,    214 ,                 
 2021-11-30 10:31:45 ,     26 ,   9324 ,   9324 ,                 
 2021-11-30 10:31:46 ,     19 ,   9941 ,   9941 ,                 
 2021-11-30 10:31:47 ,     31 ,   8179 ,   8179 ,                 
 2021-11-30 10:31:48 ,     72 ,  72551 ,  72551 ,                 
 2021-11-30 10:31:49 ,    134 , 145304 , 145304 ,                 
 2021-11-30 10:31:50 ,     99 , 115430 , 115430 ,                 
 2021-11-30 10:31:51 ,    130 , 165000 , 165000 ,                 
 2021-11-30 10:31:52 ,    252 , 245140 , 245140 ,                 
 2021-11-30 10:31:53 ,    229 , 193541 , 193541 ,                 
 2021-11-30 10:31:54 ,     92 ,  67960 ,  67960 ,                 
 2021-11-30 10:31:55 ,    179 , 136760 , 136760 ,                 
 2021-11-30 10:31:56 ,    113 , 134615 , 134615 ,                 
 2021-11-30 10:31:57 ,    156 , 200800 , 200800 ,                 
 2021-11-30 10:31:58 ,    149 , 198800 , 198800 ,                 
 2021-11-30 10:31:59 ,    201 , 266560 , 266560 ,                 
 2021-11-30 10:32:00 ,    149 , 199480 , 199480 ,                 
 2021-11-30 10:32:01 ,    146 , 199720 , 199720 ,                 
 2021-11-30 10:32:02 ,    195 , 267028 , 267028 ,                 
 2021-11-30 10:32:03 ,    107 , 119535 , 119535 ,                 
 2021-11-30 10:32:04 ,    221 , 275481 , 275481 ,                 
 2021-11-30 10:32:05 ,    222 , 269502 , 269502 ,                 
 2021-11-30 10:32:06 ,    101 , 132624 , 132624 ,                 
 2021-11-30 10:32:07 ,    198 , 266700 , 266700 ,                 
 2021-11-30 10:32:08 ,     84 , 102732 , 102732 ,                 
 2021-11-30 10:32:09 ,    145 , 175160 , 175160 ,                 
 2021-11-30 10:32:10 ,    144 , 182220 , 182220 ,                 
 2021-11-30 10:32:11 ,    220 , 195200 , 195200 ,                 
 2021-11-30 10:32:12 ,    249 , 244360 , 244360 ,                 
 2021-11-30 10:32:13 ,    218 , 225320 , 225320 ,                 
 2021-11-30 10:32:14 ,    185 , 164678 , 164678 ,                 
 2021-11-30 10:32:15 ,    121 , 142125 , 142125 ,                 
 2021-11-30 10:32:16 ,    128 , 139907 , 139907 ,                 
 2021-11-30 10:32:17 ,     50 ,  67928 ,  67928 ,                 
 2021-11-30 10:32:18 ,     97 , 133480 , 133480 ,                 
 2021-11-30 10:32:19 ,    103 , 133720 , 133720 ,                 
 2021-11-30 10:32:20 ,     47 ,  66160 ,  66160 ,                 
 2021-11-30 10:32:21 ,     98 , 133520 , 133520 ,                 
 2021-11-30 10:32:22 ,     98 , 133520 , 133520 ,                 
 2021-11-30 10:32:23 ,     54 ,  67001 ,  67001 ,                 
 2021-11-30 10:32:24 ,    110 , 140177 , 140177 ,                 
 2021-11-30 10:32:25 ,    125 , 148257 , 148257 ,                 
 2021-11-30 10:32:26 ,     86 , 111380 , 111380 ,                 
 2021-11-30 10:32:27 ,    124 , 161562 , 161562 ,                 
 2021-11-30 10:32:28 ,    244 , 239698 , 239698 ,                 
 2021-11-30 10:32:29 ,    245 , 209920 , 209920 ,                 
 2021-11-30 10:32:30 ,    187 , 201360 , 201360 ,                 
 2021-11-30 10:32:31 ,    278 , 269280 , 269280 ,                 
 2021-11-30 10:32:32 ,     78 ,  87648 ,  87648 ,                 
 2021-11-30 10:32:33 ,     98 , 133520 , 133520 ,                 
 2021-11-30 10:32:34 ,    106 , 132808 , 132760 ,                 
 2021-11-30 10:32:35 ,     49 ,  67280 ,  67280 ,                 
 2021-11-30 10:32:36 ,     97 , 132440 , 132440 ,                 
 2021-11-30 10:32:37 ,    105 , 134361 , 134361 ,                 
 2021-11-30 10:32:38 ,     69 ,  73271 ,  73271 ,                 
 2021-11-30 10:32:39 ,    129 , 144742 , 144742 ,                 
 2021-11-30 10:32:40 ,    104 , 133348 , 133348 ,                 
 2021-11-30 10:32:41 ,     57 ,  67622 ,  67622 ,                 
 2021-11-30 10:32:42 ,    122 , 145786 , 145786 ,                 
 2021-11-30 10:32:43 ,    122 , 144474 , 144474 ,                 
 2021-11-30 10:32:44 ,     99 , 112200 , 112200 ,                 
 2021-11-30 10:32:45 ,    178 , 202740 , 202740 ,                 
 2021-11-30 10:32:46 ,    191 , 201840 , 201840 ,                 
 2021-11-30 10:32:47 ,    135 , 127341 , 127293 ,                 
 2021-11-30 10:32:48 ,     99 , 133560 , 133560 ,                 
 2021-11-30 10:32:49 ,    100 , 133600 , 133600 ,                 
 2021-11-30 10:32:50 ,     48 ,  66200 ,  66200 ,                 
 2021-11-30 10:32:51 ,     96 , 133440 , 133440 ,                 
 2021-11-30 10:32:52 ,     96 , 133440 , 133440 ,                 
 2021-11-30 10:32:53 ,     47 ,  66160 ,  66160 ,                 
 2021-11-30 10:32:54 ,     36 ,  39618 ,  39618 ,                 
 2021-11-30 10:32:55 ,     99 ,  55489 ,  55489 ,                 
 2021-11-30 10:32:56 ,     92 ,  31177 ,  31177 ,                 
 2021-11-30 10:32:57 ,     32 ,   6810 ,   6810 ,                 
 2021-11-30 10:32:58 ,      8 ,    340 ,    340 ,                 
 2021-11-30 10:32:59 ,     24 ,   1341 ,   1341 ,                 
 2021-11-30 10:33:00 ,     12 ,   3963 ,   3963 ,                 
 2021-11-30 10:33:01 ,      7 ,   1342 ,   1342 ,                 
 2021-11-30 10:33:02 ,     31 ,  12082 ,  12082 ,                 
 2021-11-30 10:33:03 ,     26 ,   3444 ,   3444 ,                 
 2021-11-30 10:33:04 ,     15 ,    640 ,    640 ,                 
 2021-11-30 10:33:05 ,     14 ,   3791 ,   3791 ,                 
 2021-11-30 10:33:06 ,     12 ,   9000 ,   9000 ,                 
 2021-11-30 10:33:07 ,     29 ,  16675 ,  16675 ,                 
 2021-11-30 10:33:08 ,     44 ,  14242 ,  14242 ,                 
 2021-11-30 10:33:09 ,     71 ,  20512 ,  20512 ,                 
 2021-11-30 10:33:10 ,      7 ,    888 ,    888 ,                 
 2021-11-30 10:33:11 ,      0 ,      0 ,      0 ,                 
 2021-11-30 10:33:12 ,      8 ,   1402 ,   1402 ,                 
 2021-11-30 10:33:13 ,     31 ,   9163 ,   9163 ,                 
 2021-11-30 10:33:14 ,     50 ,   9017 ,   9017 ,                 
