 Date and time       , Frames ,  Bytes ,  BYTES ,                 
 2021-11-30 08:57:54 ,    219 ,  77533 ,  77533 ,                 
 2021-11-30 08:57:55 ,     76 ,  44424 ,  44424 ,                 
 2021-11-30 08:57:56 ,     69 ,  29434 ,  29434 ,                 
 2021-11-30 08:57:57 ,    139 ,  75426 ,  75426 ,                 
 2021-11-30 08:57:58 ,     56 ,  28536 ,  28536 ,                 
 2021-11-30 08:57:59 ,    115 , 104587 , 104587 ,                 
 2021-11-30 08:58:00 ,    124 , 119815 , 119815 ,                 
 2021-11-30 08:58:01 ,     10 ,   4680 ,   4680 ,                 
 2021-11-30 08:58:02 ,     21 ,  14655 ,  14655 ,                 
 2021-11-30 08:58:03 ,     81 ,  86519 ,  86519 ,                 
 2021-11-30 08:58:04 ,    128 ,  79223 ,  79223 ,                 
 2021-11-30 08:58:05 ,     87 , 111586 , 111586 ,                 
 2021-11-30 08:58:06 ,     50 ,  67320 ,  67320 ,                 
 2021-11-30 08:58:07 ,     94 , 125894 , 125894 ,                 
 2021-11-30 08:58:08 ,     15 ,   8570 ,   8570 ,                 
 2021-11-30 08:58:09 ,    121 , 140120 , 140120 ,                 
 2021-11-30 08:58:10 ,    107 , 134066 , 134066 ,                 
 2021-11-30 08:58:11 ,     58 ,  66960 ,  66960 ,                 
 2021-11-30 08:58:12 ,    120 , 134400 , 134400 ,                 
 2021-11-30 08:58:13 ,     68 ,  88119 ,  88119 ,                 
 2021-11-30 08:58:14 ,     53 ,  27922 ,  27922 ,                 
 2021-11-30 08:58:15 ,     69 ,  73402 ,  73402 ,                 
 2021-11-30 08:58:16 ,    104 ,  66879 ,  66879 ,                 
 2021-11-30 08:58:17 ,    209 , 143834 , 143834 ,                 
 2021-11-30 08:58:18 ,    194 , 137827 , 137731 ,                 
 2021-11-30 08:58:19 ,    102 ,  71248 ,  71248 ,                 
 2021-11-30 08:58:20 ,    222 , 161308 , 161308 ,                 
 2021-11-30 08:58:21 ,    137 , 128584 , 128584 ,                 
 2021-11-30 08:58:22 ,    184 , 174885 , 174885 ,                 
 2021-11-30 08:58:23 ,    282 , 270480 , 270480 ,                 
 2021-11-30 08:58:24 ,    160 , 134960 , 134960 ,                 
 2021-11-30 08:58:25 ,    261 , 269640 , 269640 ,                 
 2021-11-30 08:58:26 ,    200 , 267200 , 267200 ,                 
 2021-11-30 08:58:27 ,     97 , 133480 , 133480 ,                 
 2021-11-30 08:58:28 ,    192 , 266880 , 266880 ,                 
 2021-11-30 08:58:29 ,    194 , 265920 , 265920 ,                 
 2021-11-30 08:58:30 ,     96 , 134480 , 134480 ,                 
 2021-11-30 08:58:31 ,    197 , 266040 , 266040 ,                 
 2021-11-30 08:58:32 ,    199 , 266120 , 266120 ,                 
 2021-11-30 08:58:33 ,     70 ,  94658 ,  94658 ,                 
 2021-11-30 08:58:34 ,    204 , 270661 , 270661 ,                 
 2021-11-30 08:58:35 ,    150 , 202318 , 202318 ,                 
 2021-11-30 08:58:36 ,    145 , 199668 , 199668 ,                 
 2021-11-30 08:58:37 ,    196 , 267040 , 267040 ,                 
 2021-11-30 08:58:38 ,    145 , 199680 , 199680 ,                 
 2021-11-30 08:58:39 ,     87 , 112263 , 112263 ,                 
 2021-11-30 08:58:40 ,     94 , 133360 , 133360 ,                 
 2021-11-30 08:58:41 ,     97 , 134899 , 134899 ,                 
 2021-11-30 08:58:42 ,    152 , 199456 , 199456 ,                 
 2021-11-30 08:58:43 ,    196 , 266192 , 266192 ,                 
 2021-11-30 08:58:44 ,    150 , 200072 , 200072 ,                 
 2021-11-30 08:58:45 ,    167 , 206904 , 206904 ,                 
 2021-11-30 08:58:46 ,    184 , 203006 , 203006 ,                 
 2021-11-30 08:58:47 ,     98 , 134128 , 134128 ,                 
 2021-11-30 08:58:48 ,     49 ,  66240 ,  66240 ,                 
 2021-11-30 08:58:49 ,     95 , 133400 , 133400 ,                 
 2021-11-30 08:58:50 ,     94 , 133360 , 133360 ,                 
 2021-11-30 08:58:51 ,     48 ,  67240 ,  67240 ,                 
 2021-11-30 08:58:52 ,     95 , 133400 , 133400 ,                 
 2021-11-30 08:58:53 ,     95 , 132360 , 132360 ,                 
 2021-11-30 08:58:54 ,     60 ,  67720 ,  67720 ,                 
 2021-11-30 08:58:55 ,     95 , 133400 , 133400 ,                 
 2021-11-30 08:58:56 ,     94 , 133360 , 133360 ,                 
 2021-11-30 08:58:57 ,     52 ,  66440 ,  66440 ,                 
 2021-11-30 08:58:58 ,    124 , 143783 , 143783 ,                 
 2021-11-30 08:58:59 ,    142 , 152065 , 152065 ,                 
 2021-11-30 08:59:00 ,     69 ,  85140 ,  85140 ,                 
 2021-11-30 08:59:01 ,    142 , 188882 , 188882 ,                 
 2021-11-30 08:59:02 ,    105 , 107814 , 107814 ,                 
 2021-11-30 08:59:03 ,    287 , 272602 , 272602 ,                 
 2021-11-30 08:59:04 ,    298 , 270080 , 270080 ,                 
 2021-11-30 08:59:05 ,    139 , 136200 , 136200 ,                 
 2021-11-30 08:59:06 ,    280 , 269360 , 269360 ,                 
 2021-11-30 08:59:07 ,    125 , 155008 , 155008 ,                 
 2021-11-30 08:59:08 ,     47 ,  66160 ,  66160 ,                 
 2021-11-30 08:59:09 ,     95 , 133400 , 133400 ,                 
 2021-11-30 08:59:10 ,     94 , 133360 , 133360 ,                 
 2021-11-30 08:59:11 ,     48 ,  67240 ,  67240 ,                 
 2021-11-30 08:59:12 ,     94 , 133360 , 133360 ,                 
 2021-11-30 08:59:13 ,     96 , 133440 , 133440 ,                 
 2021-11-30 08:59:14 ,     55 ,  66820 ,  66820 ,                 
 2021-11-30 08:59:15 ,    106 , 135222 , 135222 ,                 
 2021-11-30 08:59:16 ,    115 , 144114 , 144114 ,                 
 2021-11-30 08:59:17 ,     72 ,  78374 ,  78374 ,                 
 2021-11-30 08:59:18 ,    137 , 176443 , 176443 ,                 
 2021-11-30 08:59:19 ,    123 , 138676 , 138676 ,                 
 2021-11-30 08:59:20 ,     51 ,  60909 ,  60909 ,                 
 2021-11-30 08:59:21 ,     13 ,   3374 ,   3374 ,                 
 2021-11-30 08:59:22 ,     25 ,   3674 ,   3674 ,                 
 2021-11-30 08:59:23 ,      2 ,     80 ,     80 ,                 
 2021-11-30 08:59:24 ,     30 ,   1240 ,   1240 ,                 
 2021-11-30 08:59:25 ,     13 ,   3460 ,   3412 ,                 
 2021-11-30 08:59:26 ,     22 ,   2899 ,   2899 ,                 
 2021-11-30 08:59:27 ,      3 ,    682 ,    682 ,                 
 2021-11-30 08:59:28 ,      7 ,    511 ,    463 ,                 
 2021-11-30 08:59:29 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:30 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:31 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:32 ,      2 ,    153 ,    153 ,                 
 2021-11-30 08:59:33 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:34 ,      8 ,    320 ,    320 ,                 
 2021-11-30 08:59:35 ,      4 ,    306 ,    306 ,                 
 2021-11-30 08:59:36 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:37 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:38 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:39 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:40 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:41 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:42 ,      5 ,    843 ,    843 ,                 
 2021-11-30 08:59:43 ,     13 ,   2101 ,   2101 ,                 
 2021-11-30 08:59:44 ,     31 ,   4022 ,   4022 ,                 
 2021-11-30 08:59:45 ,      1 ,     40 ,     40 ,                 
 2021-11-30 08:59:46 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:47 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:48 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:49 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:50 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:51 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:52 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:53 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:54 ,      4 ,    160 ,    160 ,                 
 2021-11-30 08:59:55 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:56 ,      0 ,      0 ,      0 ,                 
 2021-11-30 08:59:57 ,      2 ,    120 ,    120 ,                 
 2021-11-30 08:59:58 ,     12 ,   3006 ,   3006 ,                 
 2021-11-30 08:59:59 ,     22 ,   2946 ,   2946 ,                 
 2021-11-30 09:00:00 ,      2 ,     80 ,     80 ,                 
 2021-11-30 09:00:01 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:02 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:03 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:04 ,     10 ,    440 ,    440 ,                 
 2021-11-30 09:00:05 ,     12 ,   3414 ,   3414 ,                 
 2021-11-30 09:00:06 ,     22 ,   2899 ,   2899 ,                 
 2021-11-30 09:00:07 ,      2 ,     80 ,     80 ,                 
 2021-11-30 09:00:08 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:09 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:10 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:11 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:12 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:13 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:14 ,      8 ,    320 ,    320 ,                 
 2021-11-30 09:00:15 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:16 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:17 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:18 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:19 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:20 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:21 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:22 ,      0 ,      0 ,      0 ,                 
 2021-11-30 09:00:23 ,      2 ,    120 ,    120 ,                 
 2021-11-30 09:00:24 ,      6 ,    605 ,    605 ,                 
 2021-11-30 09:00:25 ,     20 ,  12184 ,  12184 ,                 
 2021-11-30 09:00:26 ,     41 ,  47080 ,  47080 ,                 
 2021-11-30 09:00:27 ,     32 ,  31140 ,  31140 ,                 
 2021-11-30 09:00:28 ,    164 , 115975 , 115975 ,                 
 2021-11-30 09:00:29 ,    206 , 138866 , 138866 ,                 
 2021-11-30 09:00:30 ,     94 ,  69080 ,  69080 ,                 
 2021-11-30 09:00:31 ,    176 , 135600 , 135600 ,                 
 2021-11-30 09:00:32 ,    109 , 133960 , 133960 ,                 
 2021-11-30 09:00:33 ,     49 ,  66240 ,  66240 ,                 
 2021-11-30 09:00:34 ,    108 , 133920 , 133920 ,                 
 2021-11-30 09:00:35 ,     94 , 133360 , 133360 ,                 
 2021-11-30 09:00:36 ,     47 ,  67200 ,  67200 ,                 
 2021-11-30 09:00:37 ,     95 , 133400 , 133400 ,                 
 2021-11-30 09:00:38 ,     94 , 133360 , 133360 ,                 
 2021-11-30 09:00:39 ,     48 ,  66200 ,  66200 ,                 
 2021-11-30 09:00:40 ,     94 , 133360 , 133360 ,                 
 2021-11-30 09:00:41 ,     94 , 133360 , 133360 ,                 
 2021-11-30 09:00:42 ,     49 ,  66240 ,  66240 ,                 
 2021-11-30 09:00:43 ,     95 , 133400 , 133400 ,                 
 2021-11-30 09:00:44 ,     98 , 132520 , 132520 ,                 
