 Date and time       , Frames ,  Bytes  ,  BYTES  ,               
 2021-11-30 12:46:53 ,    366 ,  151656 ,  151656 ,               
 2021-11-30 12:46:54 ,    625 ,  311413 ,  311413 ,               
 2021-11-30 12:46:55 ,    712 ,  484675 ,  484675 ,               
 2021-11-30 12:46:56 ,    262 ,  148251 ,  148251 ,               
 2021-11-30 12:46:57 ,    165 ,   47646 ,   47646 ,               
 2021-11-30 12:46:58 ,   1254 , 1302047 , 1302047 ,               
 2021-11-30 12:46:59 ,    104 ,   40491 ,   40491 ,               
 2021-11-30 12:47:00 ,     35 ,   10517 ,   10421 ,               
 2021-11-30 12:47:01 ,      6 ,     752 ,     752 ,               
 2021-11-30 12:47:02 ,    521 ,  406631 ,  406631 ,               
 2021-11-30 12:47:03 ,      0 ,       0 ,       0 ,               
 2021-11-30 12:47:04 ,      8 ,     320 ,     320 ,               
 2021-11-30 12:47:05 ,      0 ,       0 ,       0 ,               
 2021-11-30 12:47:06 ,      1 ,      60 ,      60 ,               
 2021-11-30 12:47:07 ,     81 ,   28278 ,   28278 ,               
 2021-11-30 12:47:08 ,     26 ,   13317 ,   13317 ,               
 2021-11-30 12:47:09 ,      8 ,     320 ,     320 ,               
 2021-11-30 12:47:10 ,      0 ,       0 ,       0 ,               
 2021-11-30 12:47:11 ,      0 ,       0 ,       0 ,               
 2021-11-30 12:47:12 ,      0 ,       0 ,       0 ,               
 2021-11-30 12:47:13 ,    745 ,  573381 ,  573381 ,               
 2021-11-30 12:47:14 ,    844 ,  726772 ,  726772 ,               
 2021-11-30 12:47:15 ,   1160 , 1397132 , 1397132 ,               
 2021-11-30 12:47:16 ,     30 ,   10942 ,   10894 ,               
 2021-11-30 12:47:17 ,      4 ,     269 ,     269 ,               
 2021-11-30 12:47:18 ,      1 ,      48 ,       0 ,               
 2021-11-30 12:47:19 ,      8 ,     320 ,     320 ,               
 2021-11-30 12:47:20 ,      0 ,       0 ,       0 ,               
 2021-11-30 12:47:21 ,      0 ,       0 ,       0 ,               
 2021-11-30 12:47:22 ,      0 ,       0 ,       0 ,               
 2021-11-30 12:47:23 ,      0 ,       0 ,       0 ,               
 2021-11-30 12:47:24 ,      0 ,       0 ,       0 ,               
 2021-11-30 12:47:25 ,      0 ,       0 ,       0 ,               
 2021-11-30 12:47:26 ,      0 ,       0 ,       0 ,               
