 Date and time       , Frames ,  Bytes  ,  BYTES  ,               
 2021-11-30 13:53:44 ,    276 ,   90824 ,   90824 ,               
 2021-11-30 13:53:45 ,    522 ,  246791 ,  246791 ,               
 2021-11-30 13:53:46 ,   1608 , 1512382 , 1512382 ,               
 2021-11-30 13:53:47 ,    131 ,   58925 ,   58925 ,               
 2021-11-30 13:53:48 ,    153 ,   39497 ,   39497 ,               
 2021-11-30 13:53:49 ,    164 ,   63497 ,   63401 ,               
 2021-11-30 13:53:50 ,     43 ,   16456 ,   16456 ,               
 2021-11-30 13:53:51 ,     42 ,   11300 ,   11300 ,               
 2021-11-30 13:53:52 ,    512 ,  404773 ,  404773 ,               
 2021-11-30 13:53:53 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:53:54 ,     12 ,     480 ,     480 ,               
 2021-11-30 13:53:55 ,      1 ,      60 ,      60 ,               
 2021-11-30 13:53:56 ,   1848 , 1897989 , 1897989 ,               
 2021-11-30 13:53:57 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:53:58 ,     43 ,   27416 ,   27416 ,               
 2021-11-30 13:53:59 ,      8 ,     320 ,     320 ,               
 2021-11-30 13:54:00 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:54:01 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:54:02 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:54:03 ,    738 ,  573102 ,  573102 ,               
 2021-11-30 13:54:04 ,      5 ,     208 ,     160 ,               
 2021-11-30 13:54:05 ,      1 ,      48 ,       0 ,               
 2021-11-30 13:54:06 ,     41 ,   11483 ,   11483 ,               
 2021-11-30 13:54:07 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:54:08 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:54:09 ,      4 ,     160 ,     160 ,               
 2021-11-30 13:54:10 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:54:11 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:54:12 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:54:13 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:54:14 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:54:15 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:54:16 ,      0 ,       0 ,       0 ,               
