 Date and time       , Frames ,  Bytes  ,  BYTES  ,               
 2021-11-30 13:57:10 ,    361 ,  141675 ,  141675 ,               
 2021-11-30 13:57:11 ,    358 ,  128132 ,  128132 ,               
 2021-11-30 13:57:12 ,    638 ,  426566 ,  426566 ,               
 2021-11-30 13:57:13 ,    241 ,  174864 ,  174864 ,               
 2021-11-30 13:57:14 ,   1376 , 1331316 , 1331316 ,               
 2021-11-30 13:57:15 ,     27 ,   15165 ,   15117 ,               
 2021-11-30 13:57:16 ,     58 ,   10795 ,   10795 ,               
 2021-11-30 13:57:17 ,     42 ,   11317 ,   11269 ,               
 2021-11-30 13:57:18 ,    529 ,  406267 ,  406267 ,               
 2021-11-30 13:57:19 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:20 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:21 ,      8 ,     320 ,     320 ,               
 2021-11-30 13:57:22 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:23 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:24 ,     72 ,   37491 ,   37491 ,               
 2021-11-30 13:57:25 ,      7 ,    1081 ,    1081 ,               
 2021-11-30 13:57:26 ,      4 ,     160 ,     160 ,               
 2021-11-30 13:57:27 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:28 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:29 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:30 ,    699 ,  571548 ,  571500 ,               
 2021-11-30 13:57:31 ,   1651 , 2104002 , 2104002 ,               
 2021-11-30 13:57:32 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:33 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:34 ,      1 ,      48 ,       0 ,               
 2021-11-30 13:57:35 ,     39 ,   11408 ,   11408 ,               
 2021-11-30 13:57:36 ,      8 ,     320 ,     320 ,               
 2021-11-30 13:57:37 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:38 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:39 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:40 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:41 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:42 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:43 ,      0 ,       0 ,       0 ,               
 2021-11-30 13:57:44 ,      0 ,       0 ,       0 ,               
